ppm,Lip 1,Lip 2,Lip 3,Lip 4,Lip 5,Lip 6,Lip 7,Lip 8,Lip 9,Lip10,Lip11,Lip12,Lip13,Lip14,Lip15,Lip16,Lip17,Lip18,Lip19,Lip20,Lip21,Lip22,Lip23,Lip24,Lip25,Lip26,Lip27,Lip28,Lip29,Lip30,Lip31,Lip32,Lip33,Lip34,Lip35,Lip36,Lip37,Lip38,Lip39,Lip40
-0.198135458,13093459.03,16210052.68,14602154.29,8416154.335,20286991.49,13850829.43,-21365394.25,10218011.54,19617471.9,15573858.07,8829850.49,10704324.13,12219130.14,10599449,6065380.668,16415172.4,17945959.48,17408528.07,-7852056.334,-2821599.139,25174770.85,22364908.73,17912039.44,21469063.02,2310928.787,18828658.22,9272268.841,14804759.01,15314317.26,20154820.87,12987382.54,11108556.75,12104227.53,19871612.46,10322332.97,9366087.511,20242359.85,8187221.112,9704353.455,8503427.508
-0.195579469,13339999.89,15972959.13,14654638.11,8494701.74,20188828.95,14400522.45,-21346369.04,10061573.67,19461159.89,15521622.22,9332945.9,10896177.04,12056779.17,10447373.76,6157544.679,16646864.9,17877452.39,17748123.03,-7612991.368,-2862146.289,25354168.43,22711272.81,18076330.86,21346126.71,2546030.03,18766757.72,9252642.538,14939173.03,15948703.54,19894241.2,12998707.37,11049802.86,11966965.41,19910749.19,10531262.02,9349286.731,19795784.47,8410181.037,10044844.88,8710690.614
-0.19302348,13471301.06,16132773.93,14406215.89,8706710.302,19980538.35,14293188.39,-21327343.8,10337331.07,19297048.43,16012781.85,9267467.468,11061578.85,12126744.43,11422078.89,6141992.359,16902217.29,18271324.91,17681622.94,-7896696.825,-2859368.037,25307288.2,22678973.5,18350233.1,21540537.59,2563077.244,19125562.69,9317491.144,14948760.09,15781455.94,20032587.35,13134091.82,10923773.3,12303092.88,20271013.8,10210519.35,9913270.867,20927307.96,8449603.487,10461406.64,8800149.67
-0.190467491,13293083.95,16275372.15,15160716.78,8705677.999,20562159.74,13788992.4,-21308318.62,10563184.33,19917652,16110463.74,9138458.19,10998201.55,12494497.9,11243915.32,6301045.733,16963099.92,18206281.65,18081049.53,-7409265.123,-2345091.885,25603922.36,23222783.78,18538233.95,21932911.33,2459839.768,19579375.05,9870388.918,15301787.65,15886887.13,20247973.86,13296017.33,11412409.5,12476316.75,20147134.26,10718093.6,9963449.603,20710892.83,8707562.654,10160811.24,9317034.422
-0.187911502,13643284.89,16462901.97,15491514.43,8688534.251,21158232.06,14585169.9,-21289293.41,10894532.43,19941863.3,16158850.35,9361769.617,11430060.59,12593731.85,11271287.48,6442442.864,16622736.65,18447571.46,17991396.43,-6872270.375,-2470690.637,25824796.99,23229900.62,18720483.26,21818548.54,2980133.566,19794065.74,9697883.018,15165797.84,15976552.4,20276263.06,13369907.17,11383699.23,12531320.93,20117146.17,10632456.24,10032837.48,21262350.95,8668206.902,10405516.46,9058293.811
-0.185355513,14024768.51,16298973.09,15388627.79,8981412.055,21132385.32,15026666.55,-21190993.46,11363320.31,20327669.77,16514479.4,9383833.135,11394414.24,12777810.15,11718279.16,6834698.902,17391758.72,18716771.26,18880956.94,-6943649.224,-2430169.282,26124635.8,23510808.77,18835982.29,22280875.26,3181332.573,19220143.54,9974557.999,15443485.13,15907085.31,20702271.68,13597192.17,11520327.99,12801428.86,20728717.69,10908054.87,10255316.38,21019007.22,8896060.205,10815782.78,9064464.822
-0.182799524,14130165.78,16846859.14,15591785.1,8951569.707,21210668.33,14918687.1,-20768189.54,11148367.32,20253472.7,16636666.01,9814113.315,11424279.62,13060632.15,11873896.85,7017858.527,17623250.3,18870225.7,18273616.7,-6669046.601,-2073488.034,25983017.38,23878113.43,18903417.71,22262575.69,3097152.36,20205616.1,9765477.643,15827586.67,16391471.31,20950181.32,13945586.83,11746731.59,12984629.78,20825704.27,11341775.86,10677777.68,21783636.37,8960960.392,11019379.99,9780414.516
-0.180243535,14169194.58,16892553.06,15572816.83,9537348.129,21681208.77,15329221.83,-20666609.5,11668255.9,20994002.38,16914209.98,10191934.8,11965411.32,13008833.56,12008103.81,6564605.848,17964933.5,19365580.71,18929175.98,-6684718.205,-1924289.83,26466776.72,24226224.23,19412117.44,22608022.82,3640766.843,20662108.77,10703640.64,16065302.11,16364351.42,21039696.57,13975277.44,12100905.55,13535711.43,21487639.55,11391260.83,10567396.68,21956786.18,9538557.429,11177029.25,9826656.094
-0.177687546,14048804.58,17596491.57,15897496.76,9388736.454,22043022.2,15550859.18,-20567752.08,11872294.41,20935389.32,17418590.1,9806836.089,12242567.46,13599938.25,12360156.76,6850492.995,18015216.97,19560736.77,19506843.39,-5908914.041,-1818285.781,26784341.74,24256354.6,19417454.56,22634434.05,4120494.981,20891369.46,10674966.97,16072889.16,16305081.4,21713218.59,14178965.25,12265238.62,13763365.39,21785335.71,11774068.6,11188681.09,22012937.52,9647472.531,11161980.98,9979730.746
-0.175131557,14348374.65,17766889.51,16036386.99,10112955.19,22578035.7,15761931.31,-20413710.88,12118908.86,21337039.64,17863102.32,10446703.29,12670391.91,13939234.41,12883580.09,7008496.976,18406579.86,20267438.74,19761172.91,-5613568.272,-1145316.476,27104684.08,25111926.71,19384605.95,22973574.79,4085124.955,21571955.11,11168183.94,16534107.68,17034878.49,21717347.35,14950980.39,12663659.68,14278858.34,22462875.93,11572828.89,11341718.92,22619592.53,9760708.115,11906026.39,10369050.2
-0.172575568,14514512.96,17785476.22,16488591.53,10320394.18,23218738.07,16070165.44,-20303012.99,12486806.47,22170192.13,18071887.93,11128872.6,13095108.76,14338125.05,12835607.19,7432871.385,18997614.71,20503638.81,20311582.95,-4802765.288,-904767.3742,27332003.13,25163104.8,20191840.29,23240036.76,4727004.733,21843991.47,11197566.46,16550542.49,16955470.18,22129794.67,14952624.4,13423672.79,15178547.31,22418107.13,11740525.02,11486852.7,23320345.95,10593282.1,12479939.03,10946172.43
